sucursala,numar_comanda
Brasov,2045247
Brasov,2045305
Brasov,2045332
Brasov,2045368
Brasov,2045379
Brasov,2045450
Brasov,2045482
Brasov,2045492
Brasov,2045496
Brasov,2045500
Brasov,2045576
Brasov,2045673
Brasov,2045925
Brasov,2045939
Brasov,2045944
Brasov,2045965
Brasov,2046004
Brasov,2046067
Brasov,2046121
Brasov,2046185
Brasov,2046252
Brasov,2046258
Brasov,2046265
Brasov,2046303
Brasov,2046314
Brasov,2046338
Brasov,2046383
Brasov,2046417
Brasov,2046426
Brasov,2046430
Brasov,2046440
Brasov,2046533
Brasov,2046574
Brasov,2046599
Brasov,2046619
Brasov,2046682
Brasov,2046709
Brasov,2046714
Brasov,2046730
Brasov,2046765
Brasov,2046802
Brasov,2046819
Brasov,2046882
Brasov,2046901
Brasov,2046913
Brasov,2046923
Brasov,2046995
Brasov,2047141
Brasov,2047164
Brasov,2047167
Brasov,2047224
Brasov,2047227
Brasov,2047273
Brasov,2047276
Brasov,2047290
Brasov,2047379
Brasov,2047429
Brasov,2047435
Brasov,2047453
Brasov,2047459
Brasov,2047462
Brasov,2047479
Brasov,2047491
Brasov,2047507
Brasov,2047544
Brasov,2047615
Brasov,2047620
Brasov,2047658
Brasov,2047662
Brasov,2047769
Brasov,2047812
Brasov,2047899
Brasov,2047908
Brasov,2047956
Brasov,2047974
Brasov,2047982
Brasov,2048019
Brasov,2048091
Brasov,2048114
Brasov,2048171
Brasov,2048214
Brasov,2048226
Brasov,2048239
Brasov,2048261
Brasov,2048277
Brasov,2048328
Brasov,2048348
Brasov,2048365
Brasov,2048467
Brasov,2048470
Brasov,2048481
Brasov,2048513
Brasov,2048520
Brasov,2048723
Brasov,2048765
Brasov,2048786
Brasov,2048836
Brasov,2048868
Brasov,2048914
Brasov,2048957
Brasov,2048996
Brasov,2049029
Brasov,2049229
Brasov,2049267
Brasov,2049310
Brasov,2049384
Brasov,2049416
Brasov,2049465
Brasov,2049524
Brasov,2049559
Brasov,2049566
Brasov,2049604
Brasov,2049630
Brasov,2049725
Brasov,2049727
Brasov,2049728
Brasov,2049750
Brasov,2049757
Brasov,2049796
Brasov,2049832
Brasov,2049868
Brasov,2049906
Brasov,2049999
Brasov,2050083
Brasov,2050139
Brasov,2050178
Brasov,2050348
Brasov,2050356
Brasov,2050454
Brasov,2050503
Brasov,2050611
Brasov,2050699
Brasov,2050785
Brasov,2050802
Brasov,2050912
Brasov,2050926
Brasov,2050994
Brasov,2051005
Brasov,2051021
Brasov,2051049
Brasov,2051068
Brasov,2051072
Brasov,2051147
Brasov,2051173
Brasov,2051456
Brasov,2051460
Brasov,2051477
Brasov,2051490
Brasov,2051491
Brasov,2051505
Brasov,2051517
Brasov,2051578
Brasov,2051599
Brasov,2051601
Brasov,2051656
Brasov,2051670
Brasov,2051681
Brasov,2051685
Brasov,2051730
Brasov,2051828
Brasov,2051858
Brasov,2051929
Brasov,2051951
Brasov,2052026
Brasov,2052054
Brasov,2052116
Brasov,2052165
Brasov,2052167
Brasov,2052242
Brasov,2052425
Brasov,2052481
Brasov,2052578
Brasov,2052599
Brasov,2052623
Brasov,2052637
Brasov,2052706
Brasov,2052722
Brasov,2052734
Brasov,2052737
Brasov,2052768
Brasov,2052853
Brasov,2052861
Brasov,2052886
Brasov,2052931
Brasov,2052986
Brasov,2053085
Brasov,2053118
Brasov,2053153
Brasov,2053209
Brasov,2053291
Brasov,2053305
Brasov,2053466
Brasov,2053471
Brasov,2053473
Brasov,2053587
Brasov,2053602
Brasov,2053643
Brasov,2053657
Brasov,2053726
Brasov,2053783
Brasov,2053800
Brasov,2053844
Brasov,2053848
Brasov,2053892
Brasov,2053930
Brasov,2053940
Brasov,2054035
Brasov,2054093
Brasov,2054116
Brasov,2054247
Brasov,2054316
Brasov,2054322
Brasov,2054347
Brasov,2054393
Brasov,2054456
Brasov,2054479
Brasov,2054496
Brasov,2054515
Brasov,2054528
Brasov,2054555
Brasov,2054581
Brasov,2054588
Brasov,2054633
Brasov,2054651
Brasov,2054658
Brasov,2054681
Brasov,2054704
Brasov,2054717
Brasov,2055066
Brasov,2055071
Brasov,2055115
Brasov,2055196
Brasov,2055237
Brasov,2055242
Brasov,2055276
Brasov,2055339
Brasov,2055346
Brasov,2055594
Brasov,2055670
Brasov,2055734
Brasov,2055753
Brasov,2055808
Brasov,2055869
Brasov,2055892
Brasov,2055945
Brasov,2055987
Brasov,2056027
Brasov,2056031
Brasov,2056205
Brasov,2056362
Brasov,2056421
Brasov,2056491
Brasov,2056494
Brasov,2056517
Brasov,2056568
Brasov,2056572
Brasov,2056576
Brasov,2056591
Brasov,2056699
Brasov,2056707
Brasov,2056715
Brasov,2056869
Brasov,2056914
Brasov,2056934
Brasov,2056957
Brasov,2057019
Brasov,2057094
Brasov,2057135
Brasov,2057311
Brasov,2057323
Brasov,2057378
Brasov,2057382
Brasov,2057438
Brasov,2057572
Brasov,2057579
Brasov,2057590
Brasov,2057689
Brasov,2057710
Brasov,2058039
Brasov,2058054
Brasov,2058078
Brasov,2058148
Brasov,2058246
Brasov,2058249
Brasov,2058305
Brasov,2058357
Brasov,2058433
Brasov,2058483
Brasov,2058494
Brasov,2058547
Brasov,2058626
Brasov,2058654
Brasov,2058724
Brasov,2058738
Brasov,2058798
Brasov,2058814
Brasov,2058837
Brasov,2058848
Brasov,2058879
Brasov,2058883
Brasov,2058888
Brasov,2059017
Brasov,2059060
Brasov,2059099
Brasov,2059145
Brasov,2059148
Brasov,2059201
Brasov,2059219
Brasov,2059347
Brasov,2059377
Brasov,2059378
Brasov,2059392
Brasov,2059405
Brasov,2059428
Brasov,2059443
Brasov,2059459
Brasov,2059508
Brasov,2059518
Brasov,2059591
Brasov,2059653
