numar_factura,data
2410002170,1/16/2024
2410002172,1/16/2024
2410002174,1/16/2024
2410002175,1/16/2024
2410002177,1/16/2024
2410002193,1/16/2024
2410002194,1/16/2024
2410002195,1/16/2024
2410002196,1/16/2024
2410002209,1/16/2024
2410002210,1/16/2024
2410002221,1/16/2024
2410002229,1/16/2024
2410002233,1/16/2024
2410002243,1/16/2024
2410002253,1/16/2024
2410002254,1/16/2024
2410002257,1/16/2024
2410002261,1/16/2024
2410002262,1/16/2024
2410002263,1/16/2024
2410002270,1/16/2024
2410002280,1/16/2024
2410002288,1/16/2024
2410002300,1/16/2024
2410002314,1/16/2024
2410002327,1/16/2024
2410002330,1/16/2024
2410002332,1/16/2024
2410002336,1/16/2024
2410002337,1/16/2024
2410002353,1/16/2024
2410002354,1/16/2024
2410002355,1/16/2024
2410002359,1/16/2024
2410002368,1/16/2024
2410002373,1/16/2024
2410002379,1/16/2024
2410002380,1/16/2024
2410002401,1/16/2024
2410002417,1/16/2024
2410002428,1/16/2024
2410002440,1/16/2024
2410002444,1/17/2024
2410002450,1/17/2024
2410002451,1/17/2024
2410002456,1/17/2024
2410002458,1/17/2024
2410002463,1/17/2024
2410002464,1/17/2024
2410002468,1/17/2024
2410002477,1/17/2024
2410002487,1/17/2024
2410002491,1/17/2024
2410002502,1/17/2024
2410002503,1/17/2024
2410002505,1/17/2024
2410002507,1/17/2024
2410002508,1/17/2024
2410002509,1/17/2024
2410002511,1/17/2024
2410002512,1/17/2024
2410002514,1/17/2024
2410002534,1/17/2024
2410002540,1/17/2024
2410002570,1/17/2024
2410002577,1/17/2024
2410002580,1/17/2024
2410002582,1/17/2024
2410002584,1/17/2024
2410002611,1/17/2024
2410002620,1/17/2024
2410002621,1/17/2024
2410002628,1/17/2024
2410002631,1/17/2024
2410002645,1/17/2024
2410002654,1/17/2024
2410002655,1/17/2024
2410002657,1/17/2024
2410002658,1/17/2024
2410002659,1/17/2024
2410002662,1/17/2024
2410002665,1/17/2024
2410002666,1/17/2024
2410002670,1/17/2024
