numar_factura,numar_comanda,cod_articol,id_cantitate
2410000356,2038095,2847247,1||2038095||4||11
2410000356,2038095,3104841,1||2038095||4||12
2410000356,2038095,3223507,1||2038095||4||37
2410000356,2038095,3285512,1||2038095||4||36
2410000362,2028525,6126,1||2028525||1||5
2410000362,2028525,7789,1||2028525||1||9
2410000362,2028525,7790,1||2028525||1||10
2410000362,2028525,9130,1||2028525||1||7
2410000362,2028525,1021972,1||2028525||1||6
2410000362,2028525,3144379,1||2028525||1||4
2410000362,2028525,3223715,1||2028525||1||8
2410000372,2039056,2800142,1||2039056||1||1
2410000372,2039056,3749305,1||2039056||1||2
2410000381,2036631,1603042,1||2036631||1||3
2410000381,2036631,1615407,1||2036631||1||4
2410000381,2036631,1615812,1||2036631||1||5
2410000381,2036631,1650518,1||2036631||1||2
2410000381,2036631,2355321,1||2036631||1||1
2410000383,2039253,70666,1||2039253||1||2
2410000383,2039253,204897,1||2039253||1||3
2410000383,2039253,816656,1||2039253||1||4
2410000383,2039253,2798123,1||2039253||1||1
2410000403,2038270,2510480,1||2038270||1||1
2410000409,2038030,2226277,1||2038030||2||1
2410000409,2038030,2226279,1||2038030||2||3
2410000409,2038030,2226281,1||2038030||2||4
2410000409,2038030,2226296,1||2038030||2||2
2410000409,2038030,2226300,1||2038030||2||6
2410000409,2038030,2226310,1||2038030||2||7
2410000409,2038030,2226315,1||2038030||2||5
2410000411,2039359,4495668,1||2039359||1||1
2410000417,2039036,1615812,1||2039036||1||1
2410000441,2039520,6666,1||2039520||1||3
2410000441,2039520,7098,1||2039520||1||4
2410000441,2039520,7157,1||2039520||1||2
2410000441,2039520,4985115,1||2039520||1||1
2410000443,2038982,1022807,1||2038982||1||1
2410000449,2039485,2800115,1||2039485||1||1
2410000450,2039496,3223507,1||2039496||1||2
2410000450,2039496,5624939,1||2039496||1||1
2410000457,2039652,1697930,1||2039652||1||1
2410000461,2025798,1051603,1||2025798||1||6
2410000461,2025798,1580604,1||2025798||1||3
2410000461,2025798,2339367,1||2025798||1||5
2410000461,2025798,2573352,1||2025798||1||7
2410000461,2025798,2813112,1||2025798||1||8
2410000461,2025798,4986623,1||2025798||1||4
2410000472,2039649,2306033,1||2039649||1||1
2410000473,2039522,1532999,1||2039522||1||1
2410000478,2039889,5690147,1||2039889||1||1
2410000484,2039386,2226660,1||2039386||1||1
2410000490,2039388,2238433,1||2039388||2||3
2410000516,2001938,19730,1||2001938||1||1
2410000517,2038516,1228871,1||2038516||1||1
2410000520,2003944,8687,1||2003944||1||6
2410000520,2003944,74573,1||2003944||1||4
2410000520,2003944,2265806,1||2003944||1||5
2410000520,2003944,2285108,1||2003944||1||1
2410000524,2039965,4797506,1||2039965||1||1
2410000565,2040093,1620494,1||2040093||1||1
2410000566,2039892,5010683,1||2039892||1||1
2410000578,2039716,6153892,1||2039716||2||6
2410000583,2040346,1013893,1||2040346||1||1
2410000583,2040346,1013894,1||2040346||1||2
2410000596,2039716,2844846,1||2039716||1||1
2410000596,2039716,3214299,1||2039716||1||2
2410000596,2039716,4781690,1||2039716||1||5
2410000597,2039163,5031649,1||2039163||1||2
2410000597,2039163,5031687,1||2039163||1||1
2410000599,2037745,3793364,1||2037745||3||5
2410000601,2038779,1615177,1||2038779||1||5
2410000601,2038779,2226660,1||2038779||1||7
2410000601,2038779,4975890,1||2038779||1||6
2410000618,2040533,2095204,1||2040533||1||1
2410000620,1999373,2342278,1||1999373||1||2
2410000620,1999373,6001638,1||1999373||1||1
2410000621,2040241,2574876,1||2040241||1||4
2410000642,2040660,5616980,1||2040660||1||4
2410000645,2040639,5753539,1||2040639||1||1
2410000646,2040457,5026976,1||2040457||2||2
2410000653,2040573,869713,1||2040573||1||4
2410000653,2040573,1024947,1||2040573||1||5
2410000658,2014736,4986978,1||2014736||2||4
2410000658,2014736,4986979,1||2014736||2||2
2410000690,2040550,1052610,1||2040550||1||1
2410000693,2040427,2800115,1||2040427||2||2
2410000705,2040802,1017348,1||2040802||1||1
2410000719,2040448,2258060,1||2040448||1||1
2410000723,2040705,2354868,1||2040705||1||1
2410000740,2040831,2297453,1||2040831||1||1
2410000740,2040831,2534152,1||2040831||1||2
2410000749,2040856,2238433,1||2040856||1||3
2410000749,2040856,2238434,1||2040856||1||4
